Timepoint,usLatencyMin,usLatencyMax,usLatencyAvg,usJitter,usDelayFactor,pktReceived,pktLost,pktReordered,pktReorderDist
2022-04-14T17:47:19.536488+0200,368367,369028,368735,203,651,31682,0,0,0
2022-04-14T17:47:20.538409+0200,368315,368983,368621,245,659,32158,0,0,0
2022-04-14T17:47:21.540088+0200,368307,368956,368682,151,652,32634,0,0,0
2022-04-14T17:47:22.540549+0200,368266,369337,369055,145,1096,33109,0,0,0
2022-04-14T17:47:23.542649+0200,368657,369335,369004,250,664,33585,0,0,0
2022-04-14T17:47:24.544415+0200,368615,369274,369012,199,655,34061,0,0,0
2022-04-14T17:47:25.546039+0200,368580,369258,368886,251,670,34537,0,0,0
2022-04-14T17:47:26.548418+0200,368528,369211,368854,195,662,35013,0,0,0
2022-04-14T17:47:27.550256+0200,368500,369168,368894,136,657,35489,0,0,0
2022-04-14T17:47:28.551879+0200,368446,369124,368741,206,676,35965,0,0,0
2022-04-14T17:47:29.554389+0200,368416,369093,368779,251,652,36441,0,0,0
2022-04-14T17:47:30.555816+0200,368397,369061,368739,235,661,36917,0,0,0
2022-04-14T17:47:31.556152+0200,368338,369048,368658,200,677,37392,0,0,0
2022-04-14T17:47:32.558009+0200,368315,368991,368672,218,684,37868,0,0,0
2022-04-14T17:47:33.558391+0200,368279,369318,369089,176,1057,38343,0,0,0
2022-04-14T17:47:34.559839+0200,368674,369348,369071,172,688,38819,0,0,0
2022-04-14T17:47:35.559880+0200,368631,369290,368998,232,664,39294,0,0,0
2022-04-14T17:47:36.559940+0200,368600,369284,368973,144,693,39769,0,0,0
2022-04-14T17:47:37.561598+0200,368550,369302,368887,293,738,40245,0,0,0
2022-04-14T17:47:38.561883+0200,368520,369210,368882,188,699,40720,0,0,0
2022-04-14T17:47:39.563705+0200,368481,369134,368847,230,645,41196,0,0,0
2022-04-14T17:47:40.565692+0200,368415,369213,368825,199,789,41672,0,0,0
2022-04-14T17:47:41.567391+0200,368400,369081,368719,270,681,42148,0,0,0
2022-04-14T17:47:42.567600+0200,368361,369035,368712,265,673,42623,0,0,0
2022-04-14T17:47:43.569415+0200,368325,368981,368582,186,668,43099,0,0,0
2022-04-14T17:47:44.569505+0200,368285,368948,368582,223,655,43574,0,0,0
2022-04-14T17:47:45.571787+0200,368264,369267,368944,234,1028,44050,0,0,0
2022-04-14T17:47:46.573376+0200,368565,369249,368939,208,679,44526,0,0,0
2022-04-14T17:47:47.573593+0200,368546,369226,368872,178,677,45001,0,0,0
2022-04-14T17:47:48.575563+0200,368493,369589,368803,250,1076,45477,0,0,0
2022-04-14T17:47:49.577482+0200,368453,369127,368790,217,660,45953,0,0,0
2022-04-14T17:47:50.579355+0200,368425,369099,368777,180,680,46429,0,0,0
2022-04-14T17:47:51.581311+0200,368380,369058,368761,184,661,46905,0,0,0
2022-04-14T17:47:52.582974+0200,368355,369011,368671,191,657,47381,0,0,0
2022-04-14T17:47:53.583221+0200,368305,369006,368662,239,685,47856,0,0,0
2022-04-14T17:47:54.584724+0200,368268,368927,368532,225,650,48332,0,0,0
2022-04-14T17:47:55.586672+0200,368239,368943,368540,149,704,48808,0,0,0
2022-04-14T17:47:56.586669+0200,368207,368894,368515,247,669,49283,0,0,0
2022-04-14T17:47:57.587071+0200,368214,369355,368932,196,1163,49758,0,0,0
2022-04-14T17:47:58.588824+0200,368557,369300,368879,225,718,50234,0,0,0
2022-04-14T17:47:59.589068+0200,368537,369236,368888,194,682,50709,0,0,0
2022-04-14T17:48:00.591026+0200,368491,370982,368861,173,2499,51185,0,0,0
2022-04-14T17:48:01.593101+0200,368463,369148,368784,197,693,51661,0,0,0
2022-04-14T17:48:02.594988+0200,368431,369085,368744,208,655,52137,0,0,0
2022-04-14T17:48:03.596716+0200,368366,369126,368630,183,733,52613,0,0,0
2022-04-14T17:48:04.598918+0200,368349,369017,368690,266,668,53089,0,0,0
2022-04-14T17:48:05.600593+0200,368310,369238,368604,197,907,53565,0,0,0
